linkId,dir,workHref
061_0188,061_Кандрат Крапіва,"/Kandrat_Krapiva/Ci_to_zdolny_piasniar,_ci_to_modny_platkar_zbor5.html"
061_0200,061_Кандрат Крапіва,"/Kandrat_Krapiva/Sepca_babka,_sepca_zbor5.html"
061_0324,061_Кандрат Крапіва,"/Ivan_Krylou/Zaby,_jakija_prasili_Cara.html"
061_0350,061_Кандрат Крапіва,"/Uladzimir_Majakouski/Niezvycajnaja_pryhoda,_sto_adbylasia_z_Uladzimiram_Majakouskim_na_dacy.html"
067_0001,067_Уладзімір Жылка,"/Uladzimir_Zylka/Boza,_nie_smat_zastalosia.html"
067_0002,067_Уладзімір Жылка,"/Uladzimir_Zylka/Budz_blaslaulona,_maja_maladosc.html"
067_0003,067_Уладзімір Жылка,"/Uladzimir_Zylka/Biasspynna,_hlucha_procma_casu.html"
067_0007,067_Уладзімір Жылка,"/Uladzimir_Zylka/Darma,_sto_znacny_rany.html"
067_0011,067_Уладзімір Жылка,"/Uladzimir_Zylka/I_u_sercy_boza,_jakavo.html"
067_0017,067_Уладзімір Жылка,"/Uladzimir_Zylka/Letunkovasc,_nierasucasc.html"
067_0018,067_Уладзімір Жылка,"/Uladzimir_Zylka/Lublu,_nie_znajucy_puciny.html"
067_0026,067_Уладзімір Жылка,"/Uladzimir_Zylka/Nas_los,_by_kat_z_rukoj_zabojnaj.html"
067_0034,067_Уладзімір Жылка,"/Uladzimir_Zylka/O,_heta_apoviesc_zvycajna_j_karotka.html"
067_0035,067_Уладзімір Жылка,"/Uladzimir_Zylka/Padaroznym,_bozanka.html"
067_0039,067_Уладзімір Жылка,"/Uladzimir_Zylka/Tolki_toj,_cyj_volny_duch.html"
067_0044,067_Уладзімір Жылка,"/Uladzimir_Zylka/Chto_muzny,_chto_smiely.html"
067_0051,067_Уладзімір Жылка,"/Uladzimir_Zylka/Jak_usio_u_zycci,_jasce_viasna.html"
067_0052,067_Уладзімір Жылка,"/Uladzimir_Zylka/Jasnata,_pieknata.html"
068_0011,068_Уладзімір Дубоўка,"/Uladzimir_Dubouka/Zalataja,_asienniaja_ranica.html"
068_0013,068_Уладзімір Дубоўка,"/Uladzimir_Dubouka/O_Bielarus,_maja_sypsyna.html"
068_0016,068_Уладзімір Дубоўка,"/Uladzimir_Dubouka/Rodnaja_mova,_cudounaja_mova.html"
070_0003,070_Язэп Пушча,"/Jazep_Pusca/Za_usio,_za_usio_vam_dziakuj.html"
078_0001,078_Адам Русак,"/Adam_Rusak/Dzie_ty,_zorka_maja.html"
083_0029,083_Пятрусь Броўка,"/Piatrus_Brouka/Budziem_siejac,_bielarusy.html"
094_0006,094_Алесь Звонак,"/Ales_Zvonak/Asienni_cholad,_styn_i_biezdarozza.html"
094_0007,094_Алесь Звонак,"/Ales_Zvonak/Asfalt,_i_pyl.html"
094_0018,094_Алесь Звонак,"/Ales_Zvonak/Dozdz_idzie,_i_na_sercy_markotna.html"
094_0029,094_Алесь Звонак,"/Ales_Zvonak/Noc_Nada_mnoj,_nad_taboju_ciarusycca_snieh.html"
094_0041,094_Алесь Звонак,"/Ales_Zvonak/Prachodziac_chviliny,_minajuc_hadziny.html"
094_0043,094_Алесь Звонак,"/Ales_Zvonak/U_hetuju_noc_biazzornuju,_sivuju.html"
094_0045,094_Алесь Звонак,"/Ales_Zvonak/Usio_minie,_a_prauda_zastaniecca.html"
094_0093,094_Алесь Звонак,"/Ales_Zvonak/Hady_prajsli,_a_ja_usio_pomniu.html"
094_0122,094_Алесь Звонак,"/Ales_Zvonak/Zyvi,_mif_svietly.html"
094_0143,094_Алесь Звонак,"/Ales_Zvonak/Ziamla_maja,_lubou_maja.html"
094_0249,094_Алесь Звонак,"/Ales_Zvonak/Radki_zyvuc,_napounienyja_vieraj.html"
094_0302,094_Алесь Звонак,"/Ales_Zvonak/Tam,_dzie_zajmajecca_dzien.html"
095_0004,095_Сяргей Дзяргай,"/Michail_Lermantau/Kali_chvalujecca,_pacichu_zouknie_niva_dzia.html"
105_0004,105_Максім Лужанін,"/Maksim_Luzanin/Adkul_za_znou_pauzies,_tryvoha.html"
105_0011,105_Максім Лужанін,"/Maksim_Luzanin/Vychodzu_u_les,_krysu_akrajec.html"
105_0029,105_Максім Лужанін,"/Maksim_Luzanin/Nie_pasmichajsia_ty,_atam_rasscepleny.html"
105_0030,105_Максім Лужанін,"/Maksim_Luzanin/Nie_cakalasia,_nie_hadalasia.html"
105_0034,105_Максім Лужанін,"/Maksim_Luzanin/Pazary,_vichury.html"
105_0047,105_Максім Лужанін,"/Maksim_Luzanin/Ciahnik,_uskocyusy_u_tuniel.html"
105_0053,105_Максім Лужанін,"/Maksim_Luzanin/Ja_znaju,_sonca_-_zalatoje.html"
105_0064,105_Максім Лужанін,"/Maksim_Luzanin/Acenki,_sto_u_ich_dobraje.html"
105_0096,105_Максім Лужанін,"/Maksim_Luzanin/Dozdz_Krasavik,_1945.html"
105_0129,105_Максім Лужанін,"/Maksim_Luzanin/Krytyku,_jaki_dakarau_za_archaizmy.html"
105_0210,105_Максім Лужанін,"/Maksim_Luzanin/Tyja,_ab_kim_pisau.html"
119_0029,119_Васіль Вітка,"/Fiodar_Ciutcau/Josc_niezabyuny,_razvitalny.html"
126_0001,126_Аляксей Русецкі,"/Alaksiej_Rusiecki/Nastanie_ranak,_dzien_minie.html"
128_0053,128_Сяргей Грахоўскі,"/Siarhiej_Jasienin/List_za_listam_hajdajecca,_padaje.html"
129_0005,129_Эдзі Агняцвет,"/Alaksandar_Puskin/Tabie,_paetu_i_hieroju.html"
131_0008,131_Аркадзь Куляшоў,"/Arkadz_Kulasou/Ad_scascia_serca_skaca,_jak_dzicia.html"
131_0015,131_Аркадзь Куляшоў,"/Arkadz_Kulasou/Hadzinnik_moj_-_nie_sonca,_sto_u_zienicie.html"
131_0040,131_Аркадзь Куляшоў,"/Arkadz_Kulasou/Niabiosy_-_akijan,_ja_znau_dauno.html"
131_0044,131_Аркадзь Куляшоў,"/Arkadz_Kulasou/Plyla,_calavalasia_chmara_z_ziamloj.html"
131_0059,131_Аркадзь Куляшоў,"/Arkadz_Kulasou/Jak_dzien_adychodzic,_prychodzic_niabyt.html"
131_0079,131_Аркадзь Куляшоў,"/Michail_Lermantau/I_sumna,_i_nudna.html"
131_0093,131_Аркадзь Куляшоў,"/Michail_Lermantau/Ja_nie_chacu,_kab_sviet_cytau.html"
131_0099,131_Аркадзь Куляшоў,"/Siarhiej_Jasienin/Adychodzim,_niby_u_padarozza.html"
143_0040,143_Пімен Панчанка ,"/Pimien_Pancanka/Ahryzajecca,_dy_zvuzajecca.html"
143_0056,143_Пімен Панчанка ,"/Pimien_Pancanka/Davoli_vam,_dzieci.html"
143_0058,143_Пімен Панчанка ,"/Pimien_Pancanka/Darujcie_backam,_sto_zadajuc_svaim.html"
143_0068,143_Пімен Панчанка ,"/Pimien_Pancanka/Zviazac_by_usich,_chto_prahnie_novaj_bojni.html"
143_0069,143_Пімен Панчанка ,"/Pimien_Pancanka/Zdarajecca,_casami_ja_rablu.html"
143_0072,143_Пімен Панчанка ,"/Pimien_Pancanka/Zialony_Minsk,_stary_tvoj_sad_pasiekla.html"
143_0073,143_Пімен Панчанка ,"/Pimien_Pancanka/Ziamla_maja_to_miakkaja,_to_mulkaja.html"
143_0077,143_Пімен Панчанка ,"/Pimien_Pancanka/Iznouku_hrom_na_les,_na_holy.html"
143_0078,143_Пімен Панчанка ,"/Pimien_Pancanka/Iluzii,_iluzii.html"
143_0114,143_Пімен Панчанка ,"/Pimien_Pancanka/Pazyc_da_dna_-_i_kropka,_hodzie.html"
143_0125,143_Пімен Панчанка ,"/Pimien_Pancanka/Reki_nie_viartajucca,_jak_kazuc.html"
143_0133,143_Пімен Панчанка ,"/Pimien_Pancanka/Tam,_dzie_umounaja_konskaja_sila.html"
143_0134,143_Пімен Панчанка ,"/Pimien_Pancanka/To_u_nadziejach,_to_u_skrusie.html"
143_0135,143_Пімен Панчанка ,"/Pimien_Pancanka/To_u_pracy,_to_u_dymnym_pachodzie.html"
143_0155,143_Пімен Панчанка ,"/Pimien_Pancanka/Jamu_pad_sescdziesiat,_i_casta_jon_ciapier.html"
143_0172,143_Пімен Панчанка ,"/Pimien_Pancanka/Busly,_busly.html"
143_0181,143_Пімен Панчанка ,"/Pimien_Pancanka/Hajna,_Hajna.html"
143_0284,143_Пімен Панчанка ,"/Pimien_Pancanka/Spi_spakojna,_darahi_tavarys.html"
143_0307,143_Пімен Панчанка ,"/Pimien_Pancanka/Ja_ab_dzieciach,_ab_dzieciach.html"
143_0321,143_Пімен Панчанка ,"/Pimien_Pancanka/Dazie_tuci,_kak_vidienje-rus.html"
147_0025,147_Алесь Бачыла,"/Ales_Bacyla/Sercy,_adkrytyja_kachanniu.html"
147_0028,147_Алесь Бачыла,"/Ales_Bacyla/Scyryja,_sardecnyja_piesni.html"
147_0037,147_Алесь Бачыла,"/Alaksiej_Talstoj/Zalaty_klucyk,_abo_Pryhody_Buraciny.html"
160_0018,160_Аляксей Пысін,"/Alaksiej_Pysin/Sady,_jak_bielahrudyja_miadzviedzi.html"
170_0001,170_Еўдакія Лось,"/Jeudakija_Los/Baraulany,_Baraulany.html"
170_0005,170_Еўдакія Лось,"/Jeudakija_Los/Casy,_sto_krouju_hlebu_rosiac.html"
175_0024,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Vierabiej,_sava_i_ptusyny_sud.html"
175_0033,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Pan_tvanny,_slachcic_bahniany.html"
175_0041,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/O_lubou_maja,_Bielarus.html"
175_0045,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Balada_pra_Viacka,_kniazia_ludziej_prostych.html"
175_0182,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Ahon_z_vysyn_-_i_dom_tvoj,_jak_sviaca.html"
175_0194,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Z_vytokau_da_vuscia_raki,_sto_niaspynna_biazyc.html"
175_0195,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Za_starym,_zakinutym_mlynam.html"
175_0203,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/I_caho_heta,_tavarys.html"
175_0207,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Miesiac_nad_sadam,_ad_kviecieni_bielym.html"
175_0211,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Na_paustankach,_zasypanych_lisciem_biarozavym.html"
175_0221,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Pa-nad_scyraju_Scaraj,_nad_scodraju_Scaraj.html"
175_0224,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Prypadzi_da_mianie,_prypadzi.html"
175_0228,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Spis_Ja_pryjdu,_pahuskaju.html"
175_0234,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Taja_zonka,_jakuju_viedau.html"
175_0236,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Tut_kozny_siadau_by,_dzie_schoca.html"
175_0238,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Ty_nie_snisia_mnie,_mama.html"
175_0240,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/U_dniaprouskich_chvalach,_by_u_kalyscy.html"
175_0241,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/U_biezdarozza_dla_tych,_kamu_scacin.html"
175_0246,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Ciahniki_zaspiavali,_zaplakali.html"
175_0277,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Balada_pra_Nieviadomaha,_Piersaha.html"
175_0282,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Balada_pra_calavieka,_jaki_zmahausia_sa_smierciu.html"
175_0290,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Biekies,_abo_Oda_jerasi_Balada_1555_hoda.html"
175_0316,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Vysejsyja_zyvioly,_abo_Vianiec_tvarennia.html"
175_0324,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Hladzu_na_tuju,_sto_spic.html"
175_0329,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Da_novych,_jasce_syrejsych_dalahladau.html"
175_0330,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Daroha,_jakuju_prajsou.html"
175_0332,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Dzied_Cypruk,_vartaunik_kalhasnaha_stauka.html"
175_0350,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Z_zornaha_siajva_i_pieny_kryvavaj,_abo_Paema_ad_pavarocie_styrna.html"
175_0352,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Za_pieraval,_siabram.html"
175_0482,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Ramans_pra_karala,_sto_pakinuu_tron.html"
175_0509,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Sciudzionaja_viasna,_abo_1000_hod_i_7_dzion.html"
175_0556,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Jak_mianie_pierakladali_na_japonskuju_movu,_abo_letavylicennie.html"
175_0599,175_Уладзімір Караткевіч,"/Uladzimir_Karatkievic/Stroka_biessporna,_biezupriecna-rus.html"
