authorId,authorName,authorPath,linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref,hasMeta,Authors,CreationYear,Edition,FirstPublicationYear,LangOrig,Pravapis,PublicationYear,StyleGenre,Title,Translation,SectionAuthor,Title2,AuthorsTranslated,Lang,Source,Uploaded,Year,SectionsTheme,Original1,Original1desc,Original1sha1,FilenameSuffix,Original2,Original2desc,Original2sha1,MaxChapterLevel,Notice,PreparedBy,AuthorsLinked,Description,OriginalCreationYear
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0010,Вершы,epub,/Francisak_Bahusevic/Vouk_i_aviecka.epub,,,Воўк і авечка,/Francisak_Bahusevic/Vouk_i_aviecka.html,True,Францішак Багушэвіч,1886,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1891,,A1957,1991,мастацкі/верш,Воўк і авечка,,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0011,Вершы,epub,"/Francisak_Bahusevic/Hdzie_cort_nie_moza,_tam_babu_pasle.epub",,,"Гдзе чорт не можа, там бабу пашле","/Francisak_Bahusevic/Hdzie_cort_nie_moza,_tam_babu_pasle.html",True,Францішак Багушэвіч,1886-1891?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1891,,A1957,1991,мастацкі/верш,"Гдзе чорт не можа, там бабу пашле",,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0012,Вершы,epub,/Francisak_Bahusevic/Da_100-hoddzia.epub,,,Да 100-годдзя,/Francisak_Bahusevic/Da_100-hoddzia.html,True,Францішак Багушэвіч,1894,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1991,pol,A1957,1991,мастацкі/верш,Да 100-годдзя,Сяржук Сокалаў-Воюш,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0013,Вершы,epub,/Francisak_Bahusevic/Daharaje_resta_vieccia.epub,,,«Дагарае рэшта вецця...»,/Francisak_Bahusevic/Daharaje_resta_vieccia.html,True,Францішак Багушэвіч,снежань 1899,"ЛіМ, 1965, 23 сак.",1900,pol,A1957,1965,мастацкі/верш,«Дагарае рэшта вецця...»,Максім Танк,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0014,Вершы,epub,/Francisak_Bahusevic/Dumka.epub,,,Думка,/Francisak_Bahusevic/Dumka.html,True,Францішак Багушэвіч,1887,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1891,,A1957,1991,мастацкі/верш,Думка,,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0015,Вершы,epub,"/Francisak_Bahusevic/Durny_muzyk,_jak_varona.epub",,,"Дурны мужык, як варона","/Francisak_Bahusevic/Durny_muzyk,_jak_varona.html",True,Францішак Багушэвіч,1886-1891?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1891,,A1957,1991,мастацкі/верш,"Дурны мужык, як варона",,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0016,Вершы,epub,/Francisak_Bahusevic/Zyccio_-_vandrouka_na_counie_pa_mory.epub,,,«Жыццё - вандроўка на чоўне па моры...»,/Francisak_Bahusevic/Zyccio_-_vandrouka_na_counie_pa_mory.html,True,Францішак Багушэвіч,20.07.1897,"Раса нябёсаў на зямлі тутэйшай: беларуская польскамоўная паэзiя XIX ст. / укладанне, прадмова і каментарыі У. Мархеля. – Мінск, 1998?",1938,pol,A1957,1967,мастацкі/верш,«Жыццё - вандроўка на чоўне па моры...»,Куба Паўтаржыцкі,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0017,Вершы,epub,/Francisak_Bahusevic/Z_kirmasu.epub,,,З кірмашу,/Francisak_Bahusevic/Z_kirmasu.html,True,Францішак Багушэвіч,1886-1891?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1891,,A1957,1991,мастацкі/верш,З кірмашу,,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0018,Вершы,epub,/Francisak_Bahusevic/Zdarennie.epub,,,Здарэнне,/Francisak_Bahusevic/Zdarennie.html,True,Францішак Багушэвіч,1886-1891?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1891,,A1957,1991,мастацкі/верш,Здарэнне,,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0019,Вершы,epub,"/Francisak_Bahusevic/Kab_ja_moh_napisac_toje,_sto_u_dumcy.epub",,,"«Каб я мог напісаць тое, што ў думцы...»","/Francisak_Bahusevic/Kab_ja_moh_napisac_toje,_sto_u_dumcy.html",True,Францішак Багушэвіч,20.07.1897,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1923,,A1957,1991,мастацкі/верш,"«Каб я мог напісаць тое, што ў думцы...»",,Вершы,,,,,,,,,,,,,,,,,,,,
