author_id;author_name;author_lifetime;author_born;author_died;author_gender;priority;isNationalPoet;v1;author_wkpd_url;author_other_url;src_knihi_url;src_vershyRu_url;src_other_url;author_poemCount;src_knihi_path
115;Змітрок Астапенка;1910-1944;1910;1944;m;;;;https://be.wikipedia.org/wiki/%D0%97%D0%BC%D1%96%D1%82%D1%80%D0%BE%D0%BA_%D0%90%D1%81%D1%82%D0%B0%D0%BF%D0%B5%D0%BD%D0%BA%D0%B0 ;;;;;;
116;Алесь Дубровіч;1910-1942;1910;1942;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%81%D1%8C_%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%96%D1%87 ;;;;;;
117;Аляксей Зарыцкі;1911-1978;1911;1978;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D1%8F%D0%BA%D1%81%D0%B5%D0%B9_%D0%97%D0%B0%D1%80%D1%8B%D1%86%D0%BA%D1%96 ;;;http://www.vershy.ru/category/alyaksei-zarytsk%D1%96;;;
118;Сцяпан Ліхадзіеўскі;1911-1979;1911;1979;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%86%D1%8F%D0%BF%D0%B0%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%9B%D1%96%D1%85%D0%B0%D0%B4%D0%B7%D1%96%D0%B5%D1%9E%D1%81%D0%BA%D1%96 ;;;;;;
119;Васіль Вітка;1911-1996;1911;1996;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D1%96%D0%BB%D1%8C_%D0%92%D1%96%D1%82%D0%BA%D0%B0 ;;https://knihi.com/Vasil_Vitka/;http://vershy.ru/category/vas%D1%96l-v%D1%96tka;;;Vasil_Vitka
120;Павел Пруднікаў;1911-2000;1911;2000;m;;;;https://be.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB_%D0%86%D0%B2%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%9F%D1%80%D1%83%D0%B4%D0%BD%D1%96%D0%BA%D0%B0%D1%9E ;;;;;;
121;Анатоль Астрэйка;1911-1978;1911;1978;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C_%D0%90%D1%81%D1%82%D1%80%D1%8D%D0%B9%D0%BA%D0%B0 ;;;;;;
122;Юлій Таўбін;1911-1937;1911;1937;m;;;;https://be.wikipedia.org/wiki/%D0%AE%D0%BB%D1%96%D0%B9_%D0%A2%D0%B0%D1%9E%D0%B1%D1%96%D0%BD ;;;;;;
123;Клім Грыневіч;1912-1941;1912;1941;m;;;;https://be.wikipedia.org/wiki/%D0%9A%D0%BB%D1%96%D0%BC_%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B0%D0%B2%D1%96%D1%87_%D0%93%D1%80%D1%8B%D0%BD%D0%B5%D0%B2%D1%96%D1%87 ;;;;;;
124;Анатоль Іверс;1912-1999;1912;1999;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C_%D0%86%D0%B2%D0%B5%D1%80%D1%81 ;;;;;;
125;Максім Танк;1912-1995;1912;1995;m;!!!;TRUE;TRUE;https://be.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D1%81%D1%96%D0%BC_%D0%A2%D0%B0%D0%BD%D0%BA ;;https://knihi.com/Maksim_Tank/;http://vershy.ru/category/maksim-tank;;;Maksim_Tank
126;Аляксей Русецкі;1912-2000;1912;2000;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D1%8F%D0%BA%D1%81%D0%B5%D0%B9_%D0%A1%D1%86%D1%8F%D0%BF%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%A0%D1%83%D1%81%D0%B5%D1%86%D0%BA%D1%96 ;;https://knihi.com/Alaksiej_Rusiecki/;http://vershy.ru/category/alyaksei-rusetsk%D1%96;;;Alaksiej_Rusiecki
127;Андрэй Ушакоў;1912-1941;1912;1941;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%8D%D0%B9_%D0%A4%D1%91%D0%B4%D0%B0%D1%80%D0%B0%D0%B2%D1%96%D1%87_%D0%A3%D1%88%D0%B0%D0%BA%D0%BE%D1%9E ;;;;;;
128;Сяргей Грахоўскі;1913-2002;1913;2002;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%93%D1%80%D0%B0%D1%85%D0%BE%D1%9E%D1%81%D0%BA%D1%96 ;;https://knihi.com/Siarhiej_Hrachouski/;http://vershy.ru/category/syargei-grakho%D1%9Esk%D1%96;;;Siarhiej_Hrachouski
129;Эдзі Агняцвет;1913-2000;1913;2000;f;!;;TRUE;https://be.wikipedia.org/wiki/%D0%AD%D0%B4%D0%B7%D1%96_%D0%90%D0%B3%D0%BD%D1%8F%D1%86%D0%B2%D0%B5%D1%82 ;;https://knihi.com/Edzi_Ahniacviet/;http://vershy.ru/category/edz%D1%96-agnyatsvet;;;Edzi_Ahniacviet
130;Сяргей Астрэйка;1913-1937;1913;1937;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%B4%D0%B0%D0%BC%D0%B0%D0%B2%D1%96%D1%87_%D0%90%D1%81%D1%82%D1%80%D1%8D%D0%B9%D0%BA%D0%B0 ;;;;;;
131;Аркадзь Куляшоў;1914-1978;1914;1978;m;!!!;TRUE;TRUE;https://be.wikipedia.org/wiki/%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B7%D1%8C_%D0%9A%D1%83%D0%BB%D1%8F%D1%88%D0%BE%D1%9E ;;https://knihi.com/Arkadz_Kulasou/;http://vershy.ru/category/arkadz-kulyasho%D1%9E;;;Arkadz_Kulasou
132;Валянцін Таўлай;1914-1947;1914;1947;m;;;;https://be.wikipedia.org/wiki/%D0%92%D0%B0%D0%BB%D1%8F%D0%BD%D1%86%D1%96%D0%BD_%D0%9F%D0%B0%D1%9E%D0%BB%D0%B0%D0%B2%D1%96%D1%87_%D0%A2%D0%B0%D1%9E%D0%BB%D0%B0%D0%B9 ;;;;;;
133;Уладзімір Клішэвіч;1914-1978;1914;1978;m;;;;https://be.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B0%D0%B4%D0%B7%D1%96%D0%BC%D1%96%D1%80_%D0%A1%D1%96%D0%B4%D0%B0%D1%80%D0%B0%D0%B2%D1%96%D1%87_%D0%9A%D0%BB%D1%96%D1%88%D1%8D%D0%B2%D1%96%D1%87 ;;;;;;
134;Антон Бялевіч;1914-1978;1914;1978;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%9F%D1%8F%D1%82%D1%80%D0%BE%D0%B2%D1%96%D1%87_%D0%91%D1%8F%D0%BB%D0%B5%D0%B2%D1%96%D1%87 ;;;;;;
